'account_number','service_class','service_index','oc_class','char1','char2'
'7048209010',S004,'800001820','60401018',X,X
'7048209010',S004,'800001820','60401018','',X
'7048209010',S004,'800003250','60401018',X,X
'7048209010',S004,'800003250','60401018','',X
'7048209010',S004,'800003254','60401018','',X
'7048209010',S004,'800003261','60401018','',X
'7048209010',S004,'800001855','60401018','',X
'7048209010',S004,'800003250','60804001',X,''
'7048209010',S004,'800007377','60804001',X,''
'7048209010',S004,'800003262','60401018','',X
'7048209010',S004,'800007377','60401099',X,''
'7048209010',S004,'800007377','60401018','',X
'7048209010',S004,'800007377','91507998',X,''
'7048209010',S004,'800001774','60401018',X,''
'7048209010',S004,'800007313','60401018',X,''
'7048209010',S004,'800007313','60401018',X,X
'7048209010',S004,'800007313','60804001',X,''
'7048209010',S004,'800007313','60401018','',X
'7048209010',S004,'800007313','60401099',X,''
'7048209010',S004,'800007313','91507998',X,''
'7048209010',S004,'800001821','60401018',X,''
'7048209010',S004,'800006184','60804001',X,''
'7048209010',S004,'800006184','60401018',X,X
'7048209010',S004,'800006184','60401099',X,''
'7048209010',S004,'800006184','60401018',X,''
'7048209010',S004,'800006184','60401018','',X
'7048209010',S004,'800006184','91507998',X,''
'7048209010',S004,'800007446','60804001',X,''
'7048209010',S004,'800007446','60401018',X,''
'7048209010',S004,'800007446','60401018',X,X
'7048209010',S004,'800007446','60401018','',X
'7048209010',S004,'800001828','60401018',X,''
'7048209010',S004,'800001828','60401018',X,X
'7048209010',S004,'800001821','60401018',X,X
'7048209010',S004,'800006282','60804001',X,''
'7048209010',S004,'800006282','60401018',X,X
'7048209010',S004,'800006282','60401018','',X
'7048209010',S004,'800006282','60401099',X,''
'7048209010',S004,'800006282','60401018',X,''
'7048209010',S004,'800006282','91507998',X,''
'7048209010',S004,'800001820','60401099',X,''
'7048209010',S004,'800003250','60401099',X,''
'7048209010',S004,'800001931','60401018',X,''
'7048209010',S004,'800003250','91507998',X,''
'7048209010',S004,'800001821','60401018','',X
'7048209010',S004,'800001821','91507998',X,''
'7048209010',S004,'800001821','60401099',X,''
'7048209010',S036,'800003254','60401018',X,''
'7048209010',S036,'800003261','60401018',X,''
'7048209010',S036,'800001820','60401018',X,''
'7048209010',S036,'800003250','60401018',X,''
'7048209010',S036,'800001773','60401018',X,''
'7048209010',S004,'800001773','60804001',X,''
'7048209010',S004,'800001774','60804001',X,''
'7048209010',S004,'800001774','60401018',X,X
'7048209010',S004,'800001820','91507998',X,''
'7048209010',S004,'800001774','60401018','',X
'7048209010',S036,'800001773','60804001',X,''
'7048209010',S036,'800003254','60804001',X,''
